Transfers of major conventional arms from China   to All countries . Deals with deliveries made for the year range '2000' to '2025' 
A '?' in a column indicates uncertain data. The 'Deliveries in the Year Range' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 14 Jul 2026 2:55:04 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Deliveries in the Year Range, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Namibia,China,2023,,2,,Y-9,transport aircraft,2,,2024,New,Y-9E version,27,54,54
Nepal,China,2005,,5,?,WZ-551,armoured personnel carrier,5,?,2005,New,,0.35,1.75,1.75
Nepal,China,2015,?,163,?,Tiger,armoured personnel carrier,163,?,2016; 2017; 2019; 2021,New,Possibly incl other type(s) of armoured vehicle,0.15,24.45,24.45
Niger,China,2007,?,5,?,ZFB-05,armoured personnel carrier,5,?,2009,New,,0.13,0.65,0.65
Niger,China,2008,?,2,?,WZ-523,armoured personnel carrier,2,?,2009,New,,0.22,0.44,0.44
Niger,China,2017,?,20,?,Tiger,armoured personnel carrier,20,?,2017,New,Designation uncertain (reported as 'armoured combat vehicle'),0.15,3,3
Nigeria,China,2023,?,3,?,PC 46m,patrol boat,,,,New,,7.5,22.5,0
Nigeria,China,2005,,20,?,PL-9,short-range air-to-air missile,20,?,2010,New,$20 m deal (part of $32 m deal incl other armament); PL-9C version; for F-7NI combat aircraft,0.11,2.2,2.2
Nigeria,China,2020,?,2,,CH-3,armed drone,2,?,2021,New,,2.4,4.8,4.8
Nigeria,China,2016,?,3,,KLJ-7A,combat aircraft radar,3,,2021,New,For 3 JF-17 Block-2 combat aircraft from Pakistan,2.5,7.5,7.5
Nigeria,China,2021,?,60,,Type-89/ZSD-89,armoured personnel carrier,60,,2021,New,,0.3,18,18
Nigeria,China,2019,?,3,?,SH-2 122mm,self-propelled gun,3,?,2020,New,,1,3,3
Nigeria,China,2019,?,2,?,SH-5 105mm,self-propelled gun,2,?,2020,New,,1,2,2
Nigeria,China,2019,?,12,?,VT-4,tank,12,?,2020; 2022,New,,4.3,51.6,51.6
Nigeria,China,2022,,1,,F-7MG,fighter aircraft,1,,2023,New,FT-7NI trainer/combat version,12.5,12.5,12.5
Nigeria,China,2014,?,30,?,AR-1,air-to-surface missile,30,?,2014,New,,0.05,1.5,1.5
Nigeria,China,2013,?,120,?,CS/VP3,armoured personnel carrier,120,?,2014; 2015,New,,0.3,36,36
Nigeria,China,2014,?,5,?,CH-3,armed drone,5,?,2014,New,,2.4,12,12
Nigeria,China,2005,,15,,F-7MG,fighter aircraft,15,?,2010,New,$251 m deal; F-7NI version (incl 3 FT-7NI combat/trainer version),12.5,187.5,187.5
Nigeria,China,2020,?,,,CSK-131,armoured personnel carrier,120,?,2021; 2024,New,Incl production under licence in Nigeria,0.14,0,16.8
Nigeria,China,2012,,2,,P-18N,patrol ship,2,,2014; 2016,New,NGN6.8 m ($42 m deal),37,74,74
Nigeria,China,2014,,1,,Type-62,patrol boat,1,,2015,New,Aid,10,10,10
Nigeria,China,2020,?,100,?,CS/VP3,armoured personnel carrier,100,?,2021,New,,0.3,30,30
Nigeria,China,2020,,5,?,Wing Loong-2,armed drone,5,?,2020; 2023,New,,4,20,20
Nigeria,China,2020,?,4,?,CH-4B,armed drone,4,?,2021,New,,4,16,16
Nigeria,China,2019,?,6,?,ZTL-09,fire-support vehicle,6,?,2020,New,,1.6,9.6,9.6
Nigeria,China,2022,?,4,?,AR-500,reconnaissance drone,4,?,2022,New,AR-500B version,0.5,2,2
Nigeria,China,2022,?,1,?,PC 46m,patrol boat,1,,2022,New,Possibly second-hand; aid; designation uncertain (reported as '46 meter patrol boat'),7.5,7.5,7.5
Oman,China,2003,?,50,?,WZ-551,armoured personnel carrier,50,?,2003,New,WZ-551B version; incl CP and ambulance version,0.35,17.5,17.5
Oman,China,2001,?,6,?,Type-90 122mm,multiple rocket launcher,6,?,2002,New,,0.6,3.6,3.6
Pakistan,China,2025,?,,,Kj-500,airborne early-warning aircraft,,,,New,Possibly selected but not yet ordered by end-2025,0,0,0
Pakistan,China,2025,?,,,HQ-19,anti-ballistic missile system,,,,New,Delivery possibly planned 2026,0,0,0
Pakistan,China,2021,?,1,,YLC-8B,air-search radar,1,,2023,New,YLC-8E version,15,15,15
Pakistan,China,2019,?,70,?,HQ-9,surface-to-air missile,70,?,2021,New,For HQ-9/P SAM system,1,70,70
Pakistan,China,2019,,679,?,VT-4,tank,239,?,2020; 2021; 2022; 2023; 2024; 2025,New,Incl assembly from kits and production under licence in Pakistan as Haider,4.3,2919.7,1027.7
Pakistan,China,1989,,,,Red Arrow-8,anti-tank missile,18000,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,Produced under licence in Pakistan as Baktar Shikan,0.01,0,180
Pakistan,China,2021,,25,?,J-10C,fighter/ground-attack aircraft,20,?,2022; 2023,New,FC-20E (J-10CE) version,37.5,937.5,750
Pakistan,China,2010,?,100,?,CM-400AKG,air-to-surface missile,100,?,2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019,New,For JF-17 combat aircraft,1.25,125,125
Pakistan,China,2020,?,600,?,PL-15E,long-range air-to-air missile,210,?,2021; 2024; 2025,New,For JF-17 Block-3 and J-10C combat aircraft,0.8,480,168
Pakistan,China,2012,?,50,?,JF-17 Thunder Block-3,fighter/ground-attack aircraft,25,?,2023; 2024; 2025,New,JF-17 Block-3 version; produced under licence in Pakistan,26.3,1315,657.5
Pakistan,China,2020,,1,?,E-190,transport aircraft,1,,2021,Second hand,Second-hand; Lineage-1000 version; for training and later modification to Sea Sultan ASW aircraft in South Africa and Italy,12,12,12
Pakistan,China,2021,?,30,?,Z-10,combat helicopter,1,?,2025,New,Z-10ME version,12,360,12
Pakistan,China,2018,?,48,?,Wing Loong-2,armed drone,23,?,2021; 2022; 2023; 2024; 2025,New,Possibly assembles or produced under licenec in Pakistan,4,192,92
Pakistan,China,2018,?,236,?,PLC-181 155mm,self-propelled gun,110,?,2021; 2023,New,$512 m deal; SH-15 version,1.35,318.6,148.5
Pakistan,China,2006,?,750,?,PL-12,long-range air-to-air missile,630,?,2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft,0.5,375,315
Pakistan,China,1998,?,430,?,Type-90-2M,tank,430,?,2001; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,New,Produced under licence in Pakistan as Al-Khalid and Al-Khalid-I (or Al-Khalid-1),3.7,1591,1591
Pakistan,China,2008,?,100,?,WMD-7,aircraft electro-optical system,85,?,2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft,1,100,85
Pakistan,China,2015,?,80,?,C-802,anti-ship missile,,,,New,For Type-041 (S-20) submarines,0.9,72,0
Pakistan,China,2014,,300,?,LY-80,surface-to-air missile,300,?,2016; 2017; 2018,New,For LY-80 SAM systems,0.25,75,75
Pakistan,China,2006,?,1100,?,PL-5E,short-range air-to-air missile,980,?,2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft; PL-5E-II version,0.11,121,107.8
Pakistan,China,2011,?,100,?,LD-10,anti-radar missile,100,?,2014; 2015; 2016; 2017,New,For JF-17 combat aircraft,0.15,15,15
Pakistan,China,2008,?,1000,?,LT-2,guided bomb,925,?,2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft,0.02,20,18.5
Pakistan,China,2014,?,3,?,LY-80 SAMS,surface-to-air missile system,3,?,2016; 2017; 2018,New,$599 m deal,50,150,150
Pakistan,China,2019,?,1,?,HQ-9,surface-to-air missile system,1,?,2021,New,HQ-9/P version,47,47,47
Pakistan,China,1994,?,65,?,Type-84,armoured recovery vehicle,5,?,2000,New,Incl assembly/production under licence in Pakistan; Pakistani designation ARV-W653,1,65,5
Pakistan,China,2005,,4,,F-22,frigate,4,,2009; 2010; 2013,New,$500-750 m deal; F-22P version; incl 1 produced under licence in Pakistan; Pakistani designation Zulfiquar,234.5,938,938
Pakistan,China,2008,?,2,?,SLC-2,artillery locating radar,2,?,2010,New,For use with A-100 MRL,8,16,16
Pakistan,China,2008,?,1000,?,LS-3,guided glide bomb,925,?,2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft,0.03,30,27.75
Pakistan,China,2009,?,170,?,FN-6,portable surface-to-air missile,170,?,2010,New,,0.08,13.6,13.6
Pakistan,China,2010,?,30,?,C-802,anti-ship missile,30,?,2012; 2013; 2014,New,For Azmat missile boats,0.9,27,27
Pakistan,China,2015,,8,,S-26,submarine,,,,New,$4-5 b deal; incl 4 produced under licence in Pakistan; designated Hangor in Pakistan; delivery planned 2026-2028 (delayed from 2022-2024),0,0,0
Pakistan,China,2008,?,1000,?,LS-6-500,guided glide bomb,850,?,2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2021; 2022; 2023; 2024; 2025,New,For JF-17 combat aircraft,0.03,30,25.5
Pakistan,China,2017,,4,,Type-054A,frigate,4,,2021; 2022; 2023,New,Type-54A/P version; Pakistani designation Tughril,335,1340,1340
Pakistan,China,2017,?,295,?,FN-6,portable surface-to-air missile,295,?,2018,New,FN-16 version,0.08,23.6,23.6
Pakistan,China,2001,?,6,,K-8,trainer/combat aircraft,6,,2003,New,Incl production of components and assembly in Pakistan,3.5,21,21
Pakistan,China,2002,?,11,,F-7MG,fighter aircraft,11,,2003,New,F-7PG version,11,121,121
Pakistan,China,2013,?,2,,Azmat,corvette,2,,2017; 2022,New,Produced under licence in Pakistan,65,130,130
Pakistan,China,2010,,2,,Azmat,corvette,2,,2012; 2014,New,Incl 1 produced under licence in Pakistan,65,130,130
Pakistan,China,2013,?,10,?,FM-90,surface-to-air missile system,10,?,2014; 2015; 2016,New,,16,160,160
Pakistan,China,2014,?,3,?,Z-10,combat helicopter,3,?,2015,New,,12,36,36
Pakistan,China,2017,?,200,?,LY-80,surface-to-air missile,200,?,2021; 2022; 2023,New,For Type-054A/P (Taimur) frigates,0.25,50,50
Pakistan,China,2003,?,10,,YLC-6,air-search radar,10,?,2005; 2006,New,,4.5,45,45
Pakistan,China,2013,?,500,?,FM-90,surface-to-air missile,500,?,2014; 2015; 2016,New,For FM-90 SAM systems,0.15,75,75
Pakistan,China,2011,?,50,?,JF-17 Thunder,fighter/ground-attack aircraft,50,?,2015; 2016; 2017; 2018,New,JF-17 Block-2 version; produced under licence in Pakistan,17.5,875,875
Pakistan,China,2015,?,100,?,Yu-4,anti-ship torpedo,,,,New,For S-26 (Hangor class) submarines,0.75,75,0
Pakistan,China,2015,?,100,?,Yu-3,anti-ship torpedo,,,,New,For S-26 (Hangor class) submarines,1,100,0
Pakistan,China,1993,?,,,QW-1 Vanguard,portable surface-to-air missile,2600,?,2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024; 2025,New,Produced under licence in Pakistan as Anza-2,0.07,0,182
Pakistan,China,2011,?,20,,GDF 35mm,anti-aircraft gun,20,?,2012,New,Type-90 version,0.75,15,15
Pakistan,China,2009,,120,?,C-602,anti-ship missile,120,?,2014; 2015; 2016; 2017; 2018; 2019,New,For C-602 coastal defence systems; possibly produced under licence in Pakistan as Zarb,1,120,120
Pakistan,China,2018,?,5,,YLC-18,air-search radar,5,?,2020; 2021; 2022,New,$25 m deal; YLC-18A version,7.5,37.5,37.5
Pakistan,China,2005,,6,,Z-9C,anti-submarine helicopter,6,?,2009; 2010,New,Z-9EC version,9.5,57,57
Pakistan,China,2018,,26,,JF-17 Thunder,fighter/ground-attack aircraft,26,?,2019; 2020,New,JF-17B trainer/combat version; incl 22 produced under licence in Pakistan,17.5,455,455
Pakistan,China,2015,,4,,MPVs-6HT,patrol ship,4,?,2016; 2017; 2018,New,For coast guard; incl 2 produced under licence in Pakistan; Pakistani designation Hingol,25,100,100
Pakistan,China,2005,,27,,K-8,trainer/combat aircraft,27,,2007; 2009; 2010,New,K-8P version; produced under licence in Pakistan,3.5,94.5,94.5
Pakistan,China,2019,,10,?,CH-4A,reconnaissance drone,10,?,2021; 2022,New,,3,30,30
Pakistan,China,2015,,2,,Kashmir,patrol ship,2,,2018; 2021,New,For coast guard; incl 1 produced under licence in Pakistan,32.5,65,65
Pakistan,China,2021,,30,?,CM-401,anti-ship missile,30,?,2021; 2022; 2023,New,For Type-54A/P (Tughril) frigates,1.6,48,48
Pakistan,China,2020,?,896,?,FN-6,portable surface-to-air missile,896,?,2021,New,Designation uncertain (reported as 'man-portable air-defence systems'); probably FN-16 version,0.08,71.68,71.68
Pakistan,China,2003,?,6,?,A-5C,fighter/ground-attack aircraft,6,,2003,New,,6.75,40.5,40.5
Pakistan,China,2025,?,,,HQ-19,anti-ballistic missile missile,,,,New,For HQ-19 air-defence system,0,0,0
Pakistan,China,2005,?,100,?,R-440 Crotale,surface-to-air missile,100,?,2009; 2010; 2011; 2012; 2013,New,For Jiangwei (F-22P) frigates; HQ-7 (FM-80) version,0.11,11,11
Pakistan,China,2008,,4,,ZDK-03,airborne early-warning aircraft,4,?,2011; 2012; 2013; 2014,New,$278 m deal; designated KE-03 in Pakistan,125,500,500
Pakistan,China,2011,?,50,?,CH-3,armed drone,50,?,2013; 2014; 2015; 2016; 2017; 2018; 2019,New,Incl production under licence in Pakistan as Burraq and Shahpar,2.4,120,120
Pakistan,China,2010,,4,,J-7,fighter aircraft,4,,2010,Second hand,Second-hand; aid; FT-7A trainer version,3.6,14.4,14.4
Pakistan,China,2018,?,1,?,JY-27,air-search radar,1,?,2019,New,,7.5,7.5,7.5
Pakistan,China,2005,?,70,?,C-802,anti-ship missile,70,?,2009; 2010; 2011; 2013,New,For Jiangwei (F-22P) frigates,0.9,63,63
Pakistan,China,2003,?,2,,Type-347G,fire-control radar,2,,2006,New,For 2 Jurrat FAC from Thailand,2.5,5,5
Pakistan,China,2021,?,1,,Rizwan,signals intelligence ship,1,,2023,New,,125,125,125
Pakistan,China,2015,?,636,?,FN-6,portable surface-to-air missile,636,,2016,New,,0.08,50.88,50.88
Pakistan,China,2009,,2,?,C-602,coastal defence system,2,?,2014; 2016,New,,30,60,60
Pakistan,China,2015,?,5,?,Wing Loong-1,armed drone,5,?,2015,New,,3,15,15
Pakistan,China,1999,,50,?,JF-17 Thunder,fighter/ground-attack aircraft,50,?,2007; 2008; 2009; 2010; 2011; 2012; 2013,New,JF-17 Block-1 version; developed for Pakistan; incl production of components and assembly in Pakistan; incl 8 mainly for testing and first 42 production version ordered 2009 for $800 m,17.5,875,875
Pakistan,China,1992,?,87,?,Type-59-1 130mm,towed gun,60,,2000,New,,0.7,60.9,42
Pakistan,China,2001,?,46,,F-7MG,fighter aircraft,46,?,2001; 2002; 2003,New,F-7PG version (incl 6 or 9 FT-7PG  trainer version),11,506,506
Pakistan,China,2003,?,1,,YLC-2,air-search radar,1,,2003,New,,12,12,12
Pakistan,China,2003,?,143,?,D-30 122mm,towed gun,143,,2003; 2004,New,,0.35,50.05,50.05
Pakistan,China,2025,?,40,,J-35,fighter/ground-attack aircraft,,,,New,Probably selected but not yet ordered by end-2025,0,0,0
Pakistan,China,2014,?,8,,IBIS-150,air-search radar,8,?,2016; 2017,New,$40 m deal,9,72,72
Pakistan,China,2013,?,30,?,C-802,anti-ship missile,30,?,2017; 2018; 2019; 2020,New,For Azmat FAC,0.9,27,27
Pakistan,China,2008,?,100,?,C-802A,anti-ship/land-attack missile,100,?,2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,C-802AK version; for JF-17 combat aircraft,1,100,100
Pakistan,China,2017,?,12,?,JF-17 Thunder,fighter/ground-attack aircraft,12,?,2018; 2019,New,JF-17 Block-2 version; produced under licence in Pakistan,17.5,210,210
Pakistan,China,2003,?,20,?,C-802,anti-ship missile,20,?,2006,New,For Jurrat missile boats,0.9,18,18
Pakistan,China,2008,?,60,?,A-100 300mm,multiple rocket launcher,60,?,2011; 2012; 2013; 2015,New,Produced under licence in Pakistan,2.2,132,132
Pakistan,China,2011,?,10,,Skyguard,air-search/fire-control radar,10,,2012,New,For use with GDF (Type-90) 35mm anti-aircraft guns,5,50,50
Papua New Guinea,China,2017,,1,?,WZ-551,armoured personnel carrier,1,?,2017,New,Aid,0.35,0.35,0.35
Peru,China,2009,,15,?,FN-6,portable surface-to-air missile,15,?,2010,New,$1.1 m deal,0.08,1.2,1.2
Peru,China,2009,?,10,?,QW-11,portable surface-to-air missile,10,?,2009,New,QW-18 version,0.08,0.8,0.8
Peru,China,2013,,27,,Type-90 122mm,multiple rocket launcher,27,,2015,New,$39 m deal; Type-90BM version,0.6,16.2,16.2
Qatar,China,2016,,8,?,SY-400,multiple rocket launcher,8,?,2017; 2018,New,,2.2,17.6,17.6
Qatar,China,2016,?,48,?,BP-12A,surface-to-surface missile,48,?,2017; 2018,New,For SY-400 MRL,2.25,108,108
Russia,China,2022,,8,?,Tiger,armoured personnel carrier,8,?,2023,New,For Chechen (para-military) forces (part of Russian National Guard),0.15,1.2,1.2
Russia,China,2015,,28,,ship engine,ship engine,28,,2018; 2019; 2021; 2022; 2023; 2025,New,Henan Diesel CHD622V20 3700hp diesel engine for 7 Project-21631 (Buyan-M) corvettes produced in Russia; ordered after Germany embargoed engines for Project-21631 after 2014 Russian annexation of Crimea,1.2,33.6,33.6
Rwanda,China,2006,?,6,?,SH-3 122mm,self-propelled gun,6,?,2007,New,,1.25,7.5,7.5
Rwanda,China,2008,?,20,,ZFB-05,armoured personnel carrier,20,,2008,New,Designation uncertain (reported as 'armoured combat vehicle'),0.13,2.6,2.6
Rwanda,China,2016,?,50,,Red Arrow-9,anti-tank missile,50,?,2017; 2018,New,,0.04,2,2
Rwanda,China,2017,?,3,?,CS/SH-1 122mm,self-propelled gun,3,?,2018,New,,0.7,2.1,2.1
Rwanda,China,2022,?,50,?,TY-90,short-range air-to-air missile,50,?,2023,New,For Yitian SAM systems,0.14,7,7
Rwanda,China,2022,?,3,?,Yitian,mobile surface-to-air missile system,3,?,2023,New,,10,30,30
Saudi Arabia,China,2007,?,54,?,PLZ-45 155mm,self-propelled gun,54,?,2008; 2009,New,,1.35,72.9,72.9
Saudi Arabia,China,2017,,5,?,CH-4A,reconnaissance drone,5,?,2018,New,Produced under licence in Saudi Arabia,3,15,15
Saudi Arabia,China,2020,?,5,?,TWA,air-search radar,5,?,2021,New,Incl for use with Crotale SAM systems and Silent Hunter anti-UAV systems,5,25,25
Saudi Arabia,China,2014,?,20,?,CH-4B,armed drone,20,?,2015; 2016; 2017; 2018,New,,4,80,80
Saudi Arabia,China,2016,?,50,?,FT-9,guided bomb,50,?,2018,New,For CH-4A and possibly Saqr-1 UAV,0.01,0.5,0.5
Saudi Arabia,China,2017,,50,?,Wing Loong-2,armed drone,50,?,2017; 2018; 2019; 2020; 2021; 2022,New,,4,200,200
Saudi Arabia,China,2014,?,15,?,Wing Loong-1,armed drone,15,?,2015; 2016; 2017,New,,3,45,45
Senegal,China,2022,?,2,?,VN-22,armoured personnel carrier,2,?,2023,New,Ambulance and recovery versions; for gendarmerie,0.35,0.7,0.7
Senegal,China,2022,?,3,?,VN-22B,fire-support vehicle,3,?,2023,New,For gendarmerie,1.6,4.8,4.8
Senegal,China,2015,,27,?,Assaulter,fire-support vehicle,27,,2016; 2017,New,,1.3,35.1,35.1
Senegal,China,2022,?,23,?,VN-3,armoured personnel carrier,23,?,2023; 2024,New,Incl for gendarmerie,0.14,3.22,3.22
Senegal,China,2015,?,4,?,WZ-551,armoured personnel carrier,4,?,2016; 2017,New,Command post version,0.35,1.4,1.4
Serbia,China,2023,?,200,?,HQ-17,surface-to-air missile,200,?,2024; 2025,New,For HQ-17A SAM system,0.25,50,50
Serbia,China,2019,,50,?,FT-8,air-to-surface missile,50,?,2020,New,FT-8C version; for CH-92A UAV,0.01,0.5,0.5
Serbia,China,2019,,6,?,CH-92,(armed) reconnaissance drone,6,?,2020,New,Possibly $30 m deal (incl technology transfers for development of Serbian Pegasus UAV); CH-92A version,1,6,6
Serbia,China,2020,,3,?,HQ-22,surface-to-air missile system,3,?,2022; 2023,New,FK-3 version,55,165,165
Serbia,China,2020,,250,?,HQ-22,surface-to-air missile,250,?,2022; 2023,New,For FK-3 air-defence systems,1,250,250
Serbia,China,2023,?,2,,HQ-17A,surface-to-air missile system,2,,2024; 2025,New,,50,100,100
Serbia,China,2022,?,10,?,CH-95,(armed) reconnaissance drone,10,?,2022; 2023,New,,2,20,20
Seychelles,China,2011,,2,,Y-12,light transport aircraft,2,,2011,New,Aid; incl for maritime patrol,2.5,5,5
Seychelles,China,2013,,1,,Type-62,patrol boat,1,,2014,New,Aid; Seychelles designation Etoile,10,10,10
Sierra Leone,China,2015,?,10,?,CS/VP3,armoured personnel carrier,10,?,2015; 2016,New,For use by Sierra Leone peacekeeping forces in Mali; designation uncertain (reported as 'MRAP').,0.3,3,3
Sierra Leone,China,2005,?,1,,Type-062,patrol boat,1,,2006,New,Possibly Second-hand; aid; Shanghai-3 version,9,9,9
Sierra Leone,China,2010,,6,,Type-83 122mm,towed gun,6,,2011,New,Possibly second-hand; aid; Type-96 version,0.35,2.1,2.1
Slovakia,China,2016,,1,,A-319,transport aircraft,1,,2017,Second hand,Second-hand (from Hong Kong-based civilian operator); A319-100 version; incl for government VIP transport,13.2,13.2,13.2
Somalia,China,2017,?,12,,Tiger,armoured personnel carrier,12,,2017,New,Aid,0.15,1.8,1.8
South Sudan,China,2013,?,1200,,Red Arrow-73,anti-tank missile,1200,,2014,New,$14.5 m deal (incl 100 launchers); Red Arrow-73D version,0.01,12,12
Sri Lanka,China,2016,,6,,CJ-6,trainer aircraft,6,,2018,New,PT-6 version,0.19,1.14,1.14
Sri Lanka,China,2000,,10,,CJ-6,trainer aircraft,10,?,2000; 2001,New,BT-6 version,0.19,1.9,1.9
Sri Lanka,China,2023,,2,,Y-12,light transport aircraft,2,,2023,New,Y-12-IV version,2.5,5,5
Sri Lanka,China,2009,?,2,,Y-12,light transport aircraft,2,,2010,New,Y-12-IV version,2.5,5,5
Sri Lanka,China,2004,,3,?,Type-408C,air-search radar,3,?,2004; 2005; 2006,New,Designation uncertain (reported as '150km 3D air-surveillance radar'); incl for civilian air traffic control,10,30,30
Sri Lanka,China,2007,?,1,?,YLC-18,air-search radar,1,?,2008,New,,7.5,7.5,7.5
Sri Lanka,China,2007,?,1,,JY-11,air-search radar,1,?,2007,New,Mainly for use against LTTE rebels,7.5,7.5,7.5
Sri Lanka,China,2007,?,4,,F-7MG,fighter aircraft,4,,2008,New,Possibly aid; F-7GS version,12.5,50,50
Sri Lanka,China,2007,?,25,?,PL-5E,short-range air-to-air missile,25,?,2008,New,For F-7GS combat aircraft,0.11,2.75,2.75
Sri Lanka,China,2001,?,120,?,WZ-551,armoured personnel carrier,120,?,2002; 2003; 2004; 2005; 2006; 2007,New,,0.35,42,42
Sri Lanka,China,2007,?,40,?,Type-89/ZSD-89,armoured personnel carrier,40,?,2007; 2008,New,Incl command post version,0.3,12,12
Sri Lanka,China,2007,?,2,,CJ-6,trainer aircraft,2,,2008,New,,0.19,0.38,0.38
Sri Lanka,China,2005,?,70,?,WZ-551,infantry fighting vehicle,70,?,2006; 2007,New,,0.9,63,63
Sri Lanka,China,2016,,1,,Type-053H2G,frigate,1,,2019,Second hand but modernized,Second-hand but modernized before delivery (incl removal of SAM system); RMB120 m deal,59.4,59.4,59.4
Sri Lanka,China,2004,?,3,,K-8,trainer/combat aircraft,3,,2005,New,,3.5,10.5,10.5
Sri Lanka,China,1996,?,3,,Type-062,patrol boat,3,,2000,New,Shanghai-2 version; Sri Lankan designation Rana,9,27,27
Sri Lanka,China,2000,?,6,,K-8,trainer/combat aircraft,6,,2001,New,,3.5,21,21
Sudan,China,2014,?,5,?,CH-3,armed drone,5,?,2015,New,,2.4,12,12
Sudan,China,2002,?,12,?,A-5C,fighter/ground-attack aircraft,12,?,2003,New,,6.75,81,81
Sudan,China,2000,?,460,?,Type-63 107mm,multiple rocket launcher,460,?,2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014,New,Incl production in Sudan as TAKA-1,0.05,23,23
Sudan,China,2009,?,450,?,Red Arrow-8,anti-tank missile,450,?,2009; 2010; 2011; 2012,New,,0.01,4.5,4.5
Sudan,China,2015,?,6,,FTC-2000,trainer/combat aircraft,6,?,2017; 2018,New,,10,60,60
Sudan,China,2004,?,13,?,K-8,trainer/combat aircraft,13,?,2006; 2007,New,K-8S version; incl for combat role,3.5,45.5,45.5
Sudan,China,2005,?,50,?,FN-6,portable surface-to-air missile,50,?,2006,New,,0.08,4,4
Sudan,China,2013,?,10,?,WZ-523,infantry fighting vehicle,10,?,2014; 2015,New,Possibly assembled in Sudan as Shareef-2,0.9,9,9
Sudan,China,2015,?,40,?,Python-3,short-range air-to-air missile,40,?,2017; 2018,New,PL-8 version; for FTC-2000 trainer/combat aircraft,0.11,4.4,4.4
Sudan,China,2003,?,50,?,WZ-551,infantry fighting vehicle,50,?,2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015,New,Possibly assembled or produced under licence in Sudan as Shateef-2,0.9,45,45
Sudan,China,2015,?,2,?,FB-6,surface-to-air missile system,2,?,2016,New,,2,4,4
Sudan,China,2015,?,100,?,FN-6,portable surface-to-air missile,100,?,2016,New,For FB-6 SAM systems,0.08,8,8
Sudan,China,2015,?,5,?,CH-4A,reconnaissance drone,5,?,2016; 2017,New,,3,15,15
Sudan,China,2003,?,12,?,CJ-6,trainer aircraft,12,?,2005,New,BT-6 version,0.19,2.28,2.28
Sudan,China,2001,?,50,?,Type-85-IIM,tank,50,?,2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011,New,Possibly assembled in Sudan; designated Al-Bashir in Sudan,2.7,135,135
Sudan,China,2008,?,50,?,Type-59D,tank,50,?,2010; 2011; 2012; 2013; 2014; 2015,New,Sudanese Type-59 rebuilt to Type-59D; assembled or produced under licence in Sudan as Al-Zubair-2,2.25,112.5,112.5
Sudan,China,2009,?,6,,WS-1B 302mm,multiple rocket launcher,6,?,2014,New,,1.2,7.2,7.2
Sudan,China,2011,?,10,?,K-8,trainer/combat aircraft,10,?,2012; 2013,New,K-8S version; incl for combat role,3.5,35,35
Syria,China,2008,?,5,?,JY-27,air-search radar,5,?,2009; 2010,New,,7.5,37.5,37.5
